"Data";"Regiao";"Numero de casos";"Numero de mortes";"Numero de casos acumulados";"Numero de mortes acumuladas";"CONFIRMADOS UTI COVID";"CONFIRMADOS CLINICOS COVID";"CONFIRMADOS UTI";"SUSPEITOS E CONFIRMADOS EM UTI";"TOTAL PACIENTES UTI";"LEITOS UTI LIVRES";"CONFIRMADOS FORA DA UTI";"SUSPEITOS E CONFIRMADOS FORA DA UTI";"CONFIRMADOS UTI PEDIÁTRICOS";"SUSPEITOS E CONFIRMADOS EM UTI PEDIÁTRICO";"CONFIRMADOS FORA DA UTI PEDIÁTRICO";"SUSPEITOS E CONFIRMADOS FORA DA UTI PEDIÁTRICO"
2020-02-29;"RS";1;0;1;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-01;"RS";1;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-02;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-03;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-04;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-05;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-06;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-07;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-08;"RS";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-09;"RS";3;0;5;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-10;"RS";2;0;7;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-11;"RS";2;0;9;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-12;"RS";4;0;13;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-13;"RS";5;0;18;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-14;"RS";12;0;30;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-15;"RS";7;0;37;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-16;"RS";29;0;66;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-17;"RS";23;0;89;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-18;"RS";27;0;116;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-19;"RS";30;0;146;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-20;"RS";38;0;184;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-21;"RS";11;0;195;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-22;"RS";16;0;211;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-23;"RS";25;0;236;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-24;"RS";16;1;252;1;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-25;"RS";22;0;274;1;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-26;"RS";21;0;295;1;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-27;"RS";36;1;331;2;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-28;"RS";12;1;343;3;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-29;"RS";25;1;368;4;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-30;"RS";55;1;423;5;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-31;"RS";63;0;486;5;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-01;"RS";24;1;510;6;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-02;"RS";46;1;556;7;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-03;"RS";33;0;589;7;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-04;"RS";11;1;600;8;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-05;"RS";12;0;612;8;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-06;"RS";33;0;645;8;"";"";"";"";"";"";"";"";"";"";"";""
2020-04-07;"RS";23;1;668;9;"2";"1";"2";"9";"53";"347";"1";"17";"0";"0";"0";"0"
2020-04-08;"RS";39;2;707;11;"5";"7";"5";"18";"117";"384";"7";"40";"0";"1";"0";"2"
2020-04-09;"RS";16;3;723;14;"11";"9";"11";"40";"259";"347";"9";"66";"0";"4";"0";"3"
2020-04-10;"RS";11;1;734;15;"12";"1022";"12";"38";"267";"365";"1022";"1086";"0";"6";"0";"2"
2020-04-11;"RS";13;2;747;17;"22";"18";"22";"75";"370";"603";"18";"168";"0";"4";"0";"3"
2020-04-12;"RS";15;1;762;18;"21";"20";"21";"67";"344";"712";"20";"180";"0";"7";"0";"3"
2020-04-13;"RS";56;2;818;20;"22";"20";"22";"85";"394";"638";"20";"190";"0";"9";"0";"6"
2020-04-14;"RS";44;0;862;20;"58";"33";"57";"123";"757";"453";"33";"277";"1";"17";"0";"14"
2020-04-15;"RS";30;2;892;22;"65";"41";"64";"131";"758";"761";"39";"297";"1";"11";"2";"24"
2020-04-16;"RS";24;2;916;24;"68";"41";"67";"133";"847";"688";"41";"277";"1";"12";"0";"15"
2020-04-17;"RS";37;0;953;24;"69";"37";"68";"127";"836";"723";"37";"252";"1";"5";"0";"14"
2020-04-18;"RS";30;1;983;25;"73";"29";"72";"144";"815";"744";"27";"207";"1";"7";"2";"17"
2020-04-19;"RS";26;2;1009;27;"70";"29";"69";"160";"903";"656";"27";"207";"1";"6";"2";"20"
2020-04-20;"RS";50;0;1059;27;"56";"34";"55";"149";"954";"730";"32";"242";"1";"12";"2";"22"
2020-04-21;"RS";20;1;1079;28;"68";"63";"66";"134";"928";"756";"46";"254";"2";"14";"17";"55"
2020-04-22;"RS";65;3;1144;31;"60";"55";"59";"129";"933";"751";"55";"297";"1";"13";"0";"17"
2020-04-23;"RS";86;2;1230;33;"70";"79";"68";"147";"983";"701";"77";"310";"2";"13";"2";"14"
2020-04-24;"RS";71;3;1301;36;"75";"68";"75";"144";"928";"756";"67";"341";"0";"15";"1";"20"
2020-04-25;"RS";42;2;1343;38;"79";"79";"79";"143";"1033";"665";"68";"337";"0";"14";"11";"25"
2020-04-26;"RS";59;7;1402;45;"79";"91";"79";"130";"1026";"672";"90";"386";"0";"14";"1";"14"
2020-04-27;"RS";103;2;1505;47;"79";"101";"79";"152";"1061";"651";"99";"393";"0";"14";"2";"16"
2020-04-28;"RS";88;2;1593;49;"84";"108";"84";"151";"1126";"574";"106";"417";"0";"15";"2";"14"
2020-04-29;"RS";98;4;1691;53;"89";"110";"86";"161";"1191";"508";"106";"398";"3";"12";"4";"21"
2020-04-30;"RS";121;3;1812;56;"91";"130";"88";"179";"1191";"512";"128";"410";"3";"11";"2";"9"
2020-05-01;"RS";29;3;1841;59;"91";"132";"89";"177";"1163";"550";"125";"402";"2";"10";"7";"14"
2020-05-02;"RS";33;7;1874;66;"98";"160";"97";"196";"1194";"519";"155";"435";"1";"8";"5";"17"
2020-05-03;"RS";39;5;1913;71;"102";"125";"101";"181";"1131";"582";"121";"423";"1";"7";"4";"17"
2020-05-04;"RS";79;5;1992;76;"99";"145";"98";"185";"1140";"573";"143";"442";"1";"5";"2";"25"
2020-05-05;"RS";112;9;2104;85;"93";"156";"92";"192";"1180";"539";"153";"488";"1";"9";"3";"16"
2020-05-06;"RS";77;1;2181;86;"99";"165";"98";"199";"1205";"515";"164";"481";"1";"7";"1";"13"
2020-05-07;"RS";119;1;2300;87;"115";"174";"113";"205";"1237";"485";"173";"452";"2";"9";"1";"11"
2020-05-08;"RS";75;7;2375;94;"126";"141";"124";"219";"1219";"503";"140";"429";"2";"10";"1";"4"
2020-05-09;"RS";32;3;2407;97;"118";"170";"115";"215";"1217";"505";"170";"441";"3";"11";"0";"9"
2020-05-10;"RS";26;1;2433;98;"132";"169";"128";"213";"1229";"493";"169";"443";"4";"12";"0";"8"
2020-05-11;"RS";54;5;2487;103;"126";"152";"123";"213";"1207";"516";"152";"456";"3";"10";"0";"12"
2020-05-12;"RS";62;4;2549;107;"127";"149";"123";"209";"1220";"499";"147";"473";"4";"13";"2";"16"
2020-05-13;"RS";6;6;2555;113;"128";"145";"124";"206";"1259";"450";"143";"476";"4";"11";"2";"17"
2020-05-14;"RS";0;3;2555;116;"117";"166";"113";"216";"1241";"478";"145";"452";"4";"14";"21";"55"
2020-02-29;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-01;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-02;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-03;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-04;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-05;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-06;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-07;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-08;"Porto Alegre";0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-09;"Porto Alegre";2;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-10;"Porto Alegre";0;0;2;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-11;"Porto Alegre";2;0;4;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-12;"Porto Alegre";4;0;8;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-13;"Porto Alegre";4;0;12;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-14;"Porto Alegre";9;0;21;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-15;"Porto Alegre";6;0;27;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-16;"Porto Alegre";15;0;42;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-17;"Porto Alegre";12;0;54;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-18;"Porto Alegre";13;0;67;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-19;"Porto Alegre";4;0;71;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-20;"Porto Alegre";10;0;81;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-21;"Porto Alegre";6;0;87;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-22;"Porto Alegre";7;0;94;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-23;"Porto Alegre";12;0;106;0;"";"";"";"";"";"";"";"";"";"";"";""
2020-03-24;"Porto Alegre";8;1;114;1;"";"";"";"";"";"";"";"";"";"";"";""
