"time" "cases" "deaths" "hospitalized" "icu" "recovered"
2020-02-29 0 0 "" "" ""
2020-03-01 0 0 "" "" ""
2020-03-02 0 0 "" "" ""
2020-03-03 0 0 "" "" ""
2020-03-04 0 0 "" "" ""
2020-03-05 0 0 "" "" ""
2020-03-06 0 0 "" "" ""
2020-03-07 0 0 "" "" ""
2020-03-08 0 0 "" "" ""
2020-03-09 2 0 "" "" ""
2020-03-10 2 0 "" "" ""
2020-03-11 4 0 "" "" ""
2020-03-12 8 0 "" "" ""
2020-03-13 12 0 "" "" ""
2020-03-14 21 0 "" "" ""
2020-03-15 27 0 "" "" ""
2020-03-16 42 0 "" "" ""
2020-03-17 54 0 "" "" ""
2020-03-18 67 0 "" "" ""
2020-03-19 71 0 "" "" ""
2020-03-20 81 0 "" "" ""
2020-03-21 87 0 "" "" ""
2020-03-22 94 0 "" "" ""
2020-03-23 106 0 "" "" ""
2020-03-24 114 1 "" "" ""
2020-03-25 128 1 "" "" ""
2020-03-26 136 1 "" "" ""
2020-03-27 153 2 "" "" ""
2020-03-28 157 2 "" "" ""
2020-03-29 165 2 "" "" ""
2020-03-30 188 3 "" "" ""
2020-03-31 221 3 "" "" ""
2020-04-01 232 4 "" "" ""
2020-04-02 255 5 "" "" ""
2020-04-03 269 5 "" "" ""
2020-04-04 273 5 "" "" ""
2020-04-05 278 5 "" "" ""
2020-04-06 294 5 "" "" ""
2020-04-07 299 5 "0" "0" ""
2020-04-08 313 6 "0" "0" ""
2020-04-09 316 6 "0" "0" ""
2020-04-10 320 6 "0" "0" ""
2020-04-11 322 6 "0" "0" ""
2020-04-12 327 7 "0" "0" ""
2020-04-13 346 8 "1" "0" ""
2020-04-14 359 8 "19" "36" ""
2020-04-15 369 8 "14" "41" ""
2020-04-16 380 9 "16" "41" ""
2020-04-17 392 9 "15" "40" ""
2020-04-18 396 9 "7" "41" ""
2020-04-19 403 10 "5" "38" ""
2020-04-20 405 10 "10" "23" ""
2020-04-21 407 11 "25" "34" ""
2020-04-22 418 11 "14" "30" ""
2020-04-23 422 11 "16" "32" ""
2020-04-24 426 11 "12" "34" ""
2020-04-25 430 12 "15" "33" ""
2020-04-26 431 14 "12" "35" ""
2020-04-27 441 14 "13" "32" ""
2020-04-28 447 14 "16" "34" ""
2020-04-29 451 15 "17" "35" ""
2020-04-30 458 15 "16" "30" ""
2020-05-01 463 15 "14" "29" ""
2020-05-02 468 16 "13" "32" ""
2020-05-03 470 16 "10" "34" ""
2020-05-04 473 16 "18" "34" ""
2020-05-05 485 17 "36" "26" ""
2020-05-06 492 17 "34" "29" ""
2020-05-07 513 17 "36" "37" ""
2020-05-08 525 17 "28" "34" ""
2020-05-09 533 17 "29" "34" ""
2020-05-10 536 17 "31" "42" ""
2020-05-11 550 18 "25" "35" ""
2020-05-12 561 19 "26" "35" ""
2020-05-13 567 21 "29" "34" ""
2020-05-14 567 21 "38" "32" ""
