"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;1;0;"";"";""
2020-03-01;2;0;"";"";""
2020-03-02;2;0;"";"";""
2020-03-03;2;0;"";"";""
2020-03-04;2;0;"";"";""
2020-03-05;2;0;"";"";""
2020-03-06;2;0;"";"";""
2020-03-07;2;0;"";"";""
2020-03-08;2;0;"";"";""
2020-03-09;5;0;"";"";""
2020-03-10;7;0;"";"";""
2020-03-11;9;0;"";"";""
2020-03-12;13;0;"";"";""
2020-03-13;18;0;"";"";""
2020-03-14;30;0;"";"";""
2020-03-15;37;0;"";"";""
2020-03-16;66;0;"";"";""
2020-03-17;89;0;"";"";""
2020-03-18;116;0;"";"";""
2020-03-19;146;0;"";"";""
2020-03-20;184;0;"";"";""
2020-03-21;195;0;"";"";""
2020-03-22;211;0;"";"";""
2020-03-23;236;0;"";"";""
2020-03-24;252;1;"";"";""
2020-03-25;274;1;"";"";""
2020-03-26;295;1;"";"";""
2020-03-27;331;2;"";"";""
2020-03-28;343;3;"";"";""
2020-03-29;368;4;"";"";""
2020-03-30;423;5;"";"";""
2020-03-31;486;5;"";"";""
2020-04-01;510;6;"";"";""
2020-04-02;556;7;"";"";""
2020-04-03;589;7;"";"";""
2020-04-04;600;8;"";"";""
2020-04-05;612;8;"";"";""
2020-04-06;645;8;"";"";""
2020-04-07;668;9;"1";"2";""
2020-04-08;707;11;"7";"5";""
2020-04-09;723;14;"9";"11";""
2020-04-10;734;15;"1022";"12";""
2020-04-11;747;17;"18";"22";""
2020-04-12;762;18;"20";"21";""
2020-04-13;818;20;"20";"22";""
2020-04-14;862;20;"33";"58";""
2020-04-15;892;22;"41";"65";""
2020-04-16;916;24;"41";"68";""
2020-04-17;953;24;"37";"69";""
2020-04-18;983;25;"29";"73";""
2020-04-19;1009;27;"29";"70";""
2020-04-20;1059;27;"34";"56";""
2020-04-21;1079;28;"63";"68";""
2020-04-22;1144;31;"55";"60";""
2020-04-23;1230;33;"79";"70";""
2020-04-24;1301;36;"68";"75";""
2020-04-25;1343;38;"79";"79";""
2020-04-26;1402;45;"91";"79";""
2020-04-27;1505;47;"101";"79";""
2020-04-28;1593;49;"108";"84";""
2020-04-29;1691;53;"110";"89";""
2020-04-30;1812;56;"130";"91";""
2020-05-01;1841;59;"132";"91";""
2020-05-02;1874;66;"160";"98";""
2020-05-03;1913;71;"125";"102";""
2020-05-04;1992;76;"145";"99";""
2020-05-05;2104;85;"156";"93";""
2020-05-06;2181;86;"165";"99";""
2020-05-07;2300;87;"174";"115";""
2020-05-08;2375;94;"141";"126";""
2020-05-09;2407;97;"170";"118";""
2020-05-10;2433;98;"169";"132";""
2020-05-11;2487;103;"152";"126";""
2020-05-12;2549;107;"149";"127";""
2020-05-13;2555;113;"145";"128";""
2020-05-14;2555;116;"166";"117";""
